canto_coding_id,region,division,subregion,area_kingdom,culture,language,people,song,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
3772,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Nela Marrang Jaljal,18.75,81.78,0.38,0.15,0.46,0.54,0.31,0.77,0.77,1.0,0.54,0.54,0.85,0.38,0.46,0.38,0.69,0.38,0.77,0.62,0.08,1.0,1.0,0.08,0.77,0.69,0.77,0.69,1.0,0.38,1.0,0.54,1.0,0.31,0.77,0.54,0.54,0.31,0.54
3773,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Punti Punti,18.75,81.78,0.69,0.08,0.08,0.77,0.54,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.38,0.77,0.69,0.08,0.77,0.54,0.08,0.31,0.85,0.31,1.0,1.0,0.69,1.0,0.54,0.54,0.77,0.62,0.77,0.77,0.77,0.77
3774,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Nanai Nanai,18.75,81.78,0.38,0.08,0.08,0.88,0.54,0.54,0.08,0.08,0.08,0.77,0.46,0.38,0.08,0.08,0.69,0.85,0.77,1.0,0.08,0.54,0.77,0.23,0.54,0.69,0.54,0.69,1.0,0.38,0.54,0.77,0.54,0.54,0.62,0.31,0.31,0.54,0.54
3775,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Oller Pata,18.75,81.78,0.46,0.08,0.08,0.54,0.77,0.54,0.08,0.08,0.08,0.77,0.85,0.23,0.08,0.08,0.69,0.38,0.88,0.62,0.31,0.31,1.0,0.08,0.77,0.69,0.77,1.0,1.0,0.38,0.54,0.77,1.0,0.42,0.77,1.0,1.0,0.54,0.54
3776,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Oller Pata,18.75,81.78,0.46,0.92,0.85,0.54,0.77,0.77,0.54,0.54,0.31,0.54,0.46,0.23,0.46,0.54,0.69,0.46,0.77,0.38,0.69,0.54,1.0,0.08,0.77,0.69,0.42,1.0,1.0,0.69,1.0,0.54,1.0,0.42,0.77,1.0,1.0,0.54,0.54
3777,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Ubranta Pata ,18.75,81.78,0.81,0.08,0.08,1.0,0.77,0.77,0.08,0.08,0.08,0.31,1.0,0.31,0.08,0.08,0.69,0.77,0.19,0.62,0.08,0.77,0.31,0.23,1.0,0.08,0.77,0.08,1.0,0.38,1.0,0.31,0.54,0.42,0.77,0.77,0.54,0.42,0.77
3778,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Alora Aa,22.05,78.93,0.81,0.08,0.08,1.0,0.77,0.77,0.08,0.08,0.08,0.31,1.0,0.31,0.08,0.08,0.69,0.23,0.42,0.62,0.31,1.0,0.31,0.23,0.31,0.23,0.77,0.08,1.0,0.69,0.08,0.31,0.54,0.31,0.77,1.0,1.0,0.77,0.54
3779,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Aloribe,18.75,81.78,0.46,0.08,0.08,0.77,0.77,0.54,0.08,0.08,0.08,0.31,0.85,0.23,0.08,0.08,0.69,0.92,0.77,0.85,0.31,0.77,0.31,0.08,0.54,0.69,0.77,0.38,1.0,0.69,0.54,0.31,0.54,0.31,0.77,0.77,0.77,0.42,0.77
3780,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Aduyoi Ara,18.75,81.78,0.38,0.08,0.08,0.54,0.54,0.31,0.08,0.08,0.08,0.31,0.46,0.23,0.08,0.08,0.69,0.92,0.54,1.0,0.08,0.54,0.54,0.08,0.54,0.69,0.54,0.69,1.0,0.38,0.54,0.31,1.0,0.77,0.62,0.54,0.54,0.77,0.77
3781,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,Tama Karu Karu,18.75,81.78,0.38,0.08,0.08,0.77,0.77,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.92,0.54,1.0,0.31,0.54,0.54,0.08,0.54,0.85,0.54,0.69,1.0,0.69,1.0,0.54,1.0,0.54,0.62,0.0,0.0,0.54,0.31
